system:index,B,EVI,EVI2,G,GNDVI,GVMI,MNDWI,MSAVI,NDBI,NDMI,NDRE,NDVI,NDWI,NDWI2,NIR,NRVI,R,RE1,RE2,RE3,RE4,RVI,SAVI,SIWSI,SLAVI,SR,b1,swir1,swir2,.geo
20230611T103631_20230611T104650_T31TEJ,2952.886894163386,1.1296709060241383,0.4347870570187906,3234.7332767041835,0.2584851064646265,0.07185824410952489,-0.08648162305850698,10922.49512390349,-0.07185030120661019,0.07185030120661019,0.1646618711049125,0.2570422694157624,-0.2584851064646265,0.17817376242665403,5102.8956335658395,-0.2570422694157624,3234.103762026888,3835.379371743143,4850.6555531960075,5141.166277341262,5285.88944247513,0.6069029351144695,0.5140120587227022,0.09128168706978697,0.787699527449111,1.7609926898815313,-0.496581129750989,4406.256677066828,3575.2593233905613,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230616T103629_20230616T103659_T31TEJ,1872.4280020255812,1.4858209050511402,0.6167451552004125,2266.785500759593,0.35786487915061566,0.07623842360587621,-0.1738340766655038,-1724.4075338549749,-0.07623041386623992,0.07623041386623992,0.24824687162936065,0.3544189420945371,-0.35786487915061566,0.1954582983534144,4801.688485224692,-0.3544189420945371,2293.06877174641,2890.3062711338353,4283.133361647909,4739.441805380859,4921.4272506003235,0.48212809567853565,0.7087370910440766,0.0887289298106437,0.8883059666961456,2.150408930868965,-0.42678560413653716,4127.9299050917225,3245.511900289135,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230626T103629_20230626T103659_T31TEJ,1767.805233840273,1.3578387413201058,0.6426937804821272,2178.7933580541353,0.3798218953329807,0.0644869975007271,-0.21686754994727228,-2744.768283319993,-0.0644790208136799,0.0644790208136799,0.25540409347957527,0.3674743987426269,-0.3798218953329807,0.177292348201891,4843.318522632602,-0.3674743987426269,2250.1112436088015,2876.532711501707,4325.277341261414,4824.919940539393,5020.233529901825,0.4673826552372702,0.734844068211896,0.08245612265121792,0.8767826716977069,2.2120382913980077,-0.435399282527655,4262.170557198164,3400.413185879739,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230701T103631_20230701T104159_T31TEJ,11060.061094140516,-0.022150730895348355,0.009552663456421466,10298.741918094647,-0.014551829093838885,0.2166324003579965,0.318256196850213,78046.63985494226,-0.21662906824037823,0.21662906824037823,-0.03868149148846044,0.006440675578284519,0.014551829093838885,0.3052101770485087,9993.426466504403,-0.006440675578284526,9874.628224186092,10808.969926654361,10179.756538216508,9770.745315843638,9472.998970874103,0.9873806627099342,0.012880642295670795,0.191381868457436,0.6581168718956486,1.0131531804046836,,6421.820899423363,5311.142313409674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230706T103629_20230706T104848_T31TEJ,2367.2911609520233,1.451710811494929,0.4319333790519103,2592.2546024797034,0.26519159723723407,0.09405016934889553,-0.08404259810057181,6490.970808762272,-0.0940415605798956,0.0940415605798956,0.18173757672238605,0.25930104355616074,-0.26519159723723407,0.1861765925526697,4428.372870281131,-0.25930104355616074,2619.8721106882076,3075.1673391378213,4021.665550419001,4372.860561608703,4519.449058268128,0.5936969325174732,0.5185267158618243,0.10446879428104183,0.7899330908712014,1.732575512452411,-0.6582029718355159,3662.5949981214367,3033.60576310502,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230711T103631_20230711T104102_T31TEJ,1702.8840354803403,0.9306335091800717,0.5320404556423636,2185.271705571982,0.34733724145480444,0.04194013695975371,-0.19969826925993678,1801.060228367937,-0.041931434218633656,0.041931434218633656,0.21007239092714194,0.31296045541520867,-0.34733724145480444,0.15885933036244776,4502.446183249751,-0.31296045541520867,2363.7893558978717,2942.4208798209647,4093.4384239671986,4495.0898116536255,4741.264795726677,0.5268992119620093,0.6258289430854793,0.06779859493126147,0.8085885121697988,1.9376290317482818,-0.8256680855974279,4142.333632814414,3274.5940996781937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230716T103629_20230716T103634_T31TEJ,1788.8314357123022,1.0215622932987618,0.5301957145527946,2190.512063642452,0.35041618100343264,0.028665922332417042,-0.22741450295168442,1954.5532776843033,-0.028657226341761145,0.028657226341761145,0.2130800114806926,0.3117320052465254,-0.35041618100343264,0.13385036199474146,4544.80268552853,-0.3117320052465254,2394.560922619534,2953.414362023621,4081.6383194210757,4536.60973259062,4747.976297433719,0.5288454836525887,0.6233731618245009,0.05061103898021042,0.7852524655594771,1.9363513396486876,-0.6837643667022723,4297.876815263734,3484.2830259568423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230721T103631_20230721T104035_T31TEJ,1894.148863877681,1.062570543135536,0.48915850234256036,2289.4382769492136,0.3273491417779341,0.03090230313882694,-0.19207572905704648,3640.8060506068578,-0.030893377648743222,0.030893377648743222,0.19822779225399498,0.29015595021774115,-0.3273491417779341,0.1446542644870218,4521.810918535701,-0.29015595021774115,2488.455837430779,3023.5638139732428,4064.2675563977327,4435.691784961694,4680.29558782691,0.5550728275799541,0.5802275382193949,0.048132041849518185,0.7784641663562317,1.8477562472450049,-0.7414309273884517,4270.922848228433,3394.0486466177695,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230726T103629_20230726T103642_T31TEJ,1862.1695607429308,0.970853686006822,0.5056022498649012,2267.666922586863,0.3433585466457247,0.04299787574724248,-0.2073620726175777,3054.063805805577,-0.042989419570677465,0.042989419570677465,0.21316184024723187,0.2993386214241547,-0.3433585466457247,0.14653410859119398,4629.94158485388,-0.2993386214241547,2505.8497802897887,3007.8836270970482,4056.9916689808388,4472.682800529265,4715.232059721972,0.5428147597838188,0.598592465891992,0.052229654014516146,0.7865870923634857,1.8786192591195525,-0.6972357587156864,4254.874315957985,3457.1843932241045,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230731T103631_20230731T104041_T31TEJ,1669.3167747521113,0.9036001447316294,0.5315281668872501,2104.743437280494,0.36145606548353676,0.030954550257329978,-0.22892783672020758,1907.829132430534,-0.030945734281818533,0.030945734281818533,0.2156108790633681,0.3123320884585798,-0.36145606548353676,0.14484441374416743,4475.051684989464,-0.3123320884585798,2356.76516327164,2894.5151346848097,3948.548932486074,4335.949768855056,4598.702092555989,0.5282956588724529,0.6245715729905981,0.04473093995754729,0.7960409913183146,1.9401712711932446,-0.8416685370741548,4214.000833101916,3354.5147753075125,"{""type"":""MultiPoint"",""coordinates"":[]}"
